"",vegueria_id,vegueria,geometry,territori
12,0,Alt Segre,"MULTIPOLYGON (((1.19351 41.93940, 1.19298 41.94390, 1.20184 41.94541, 1.20407 41.95144, 1.21225 41.95541, 1.22711 41.95912, 1.22775 41.96663, 1.23726 41.97881, 1.25155 41.98176, 1.25547 41.99494, ...",NORD
0,1,Aran,"POLYGON ((0.67298 42.71891, 0.68001 42.72318, 0.67078 42.73069, 0.66725 42.73835, 0.66312 42.74330, 0.66334 42.74945, 0.66061 42.75191, 0.63862 42.75404, 0.65092 42.76575, 0.66847 42.77419, 0.6538...",CAT
1,2,Barcelona,"POLYGON ((1.93724 41.27449, 1.94296 41.28029, 1.92447 41.29112, 1.91618 41.28937, 1.90077 41.27908, 1.88845 41.28392, 1.88616 41.27880, 1.87119 41.27867, 1.87294 41.29378, 1.85158 41.29956, 1.8473...",CAT
2,3,Camp,"POLYGON ((0.89084 40.96679, 0.88082 40.95995, 0.87545 40.95204, 0.86231 40.94717, 0.85630 40.93467, 0.83649 40.94005, 0.81793 40.93965, 0.81951 40.94251, 0.80298 40.95340, 0.79825 40.96856, 0.7817...",CAT
13,4,Catalunya Nord,"POLYGON ((2.46753 42.35892, 2.45954 42.36463, 2.45147 42.36920, 2.44929 42.36898, 2.44772 42.36898, 2.44667 42.36912, 2.44540 42.36957, 2.44332 42.37075, 2.43552 42.37541, 2.43347 42.37709, 2.4331...",NORD
3,5,Costa Brava,"POLYGON ((2.61409 41.69234, 2.59962 41.68386, 2.59241 41.68889, 2.58813 41.70096, 2.59889 41.71232, 2.59498 41.72167, 2.59804 41.72799, 2.57246 41.72607, 2.56917 41.73104, 2.56784 41.74964, 2.5601...",CAT
4,6,Ebre,"POLYGON ((0.11519 40.72326, 0.11055 40.72288, 0.11117 40.72531, 0.07136 40.71248, 0.04085 40.68918, 0.03585 40.69143, 0.03536 40.69162, 0.03442 40.69179, 0.02934 40.69248, 0.02773 40.69282, 0.0251...",CAT
5,7,Llobregat,"POLYGON ((1.43094 41.62940, 1.42176 41.63465, 1.39232 41.63428, 1.38802 41.63100, 1.38028 41.63277, 1.37297 41.64762, 1.37826 41.66681, 1.37486 41.67401, 1.37370 41.67648, 1.34811 41.66345, 1.3375...",CAT
6,8,Maresme,"POLYGON ((2.29713 41.47249, 2.29586 41.47515, 2.29175 41.48226, 2.26675 41.50491, 2.26990 41.51022, 2.28197 41.51415, 2.30727 41.51355, 2.31571 41.51761, 2.32320 41.51671, 2.33056 41.52372, 2.3283...",CAT
7,9,Penedès,"POLYGON ((1.47643 41.20892, 1.47448 41.21888, 1.46647 41.22770, 1.46864 41.23443, 1.45191 41.24768, 1.45527 41.25008, 1.45416 41.25540, 1.43914 41.27240, 1.43272 41.28196, 1.43606 41.28592, 1.4222...",CAT
8,10,Ponent,"POLYGON ((0.36815 41.29529, 0.36819 41.29462, 0.37507 41.28612, 0.38431 41.27701, 0.38291 41.27604, 0.38253 41.27475, 0.38109 41.27260, 0.38021 41.27179, 0.38007 41.27150, 0.38000 41.27056, 0.3798...",CAT
11,11,Ribagorça i Pallars,"POLYGON ((0.68366 42.08991, 0.68357 42.08865, 0.68325 42.08791, 0.68218 42.08674, 0.68204 42.08624, 0.68244 42.08503, 0.68128 42.08198, 0.68092 42.08056, 0.68025 42.07972, 0.67909 42.07845, 0.6790...",FRANJA
9,12,Ter-Garrotxa,"MULTIPOLYGON (((2.07477 41.90002, 2.06436 41.90121, 2.04715 41.89754, 2.04109 41.90254, 2.04304 41.90681, 2.03354 41.91308, 2.02996 41.93212, 2.02318 41.94163, 2.02790 41.94261, 2.02638 41.94999, ...",CAT
10,13,Vallès,"POLYGON ((2.03284 41.44163, 2.02406 41.45126, 2.02292 41.45806, 1.99963 41.45957, 1.99439 41.45096, 1.99475 41.43610, 1.99050 41.44043, 1.98429 41.44544, 1.97855 41.45077, 1.97683 41.45735, 1.9721...",CAT
